localizacao,descricao,detalhe_segundario,data,qtd_noites,valor,avaliacao
Apartamento em São Paulo,"M68 Apartamento moderno novo melhor do Bras ,","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$752,"4,89 de uma avaliação média de 5, 36 avaliações
4,89 (36)"
Apartamento em São Paulo,Studio Luxo MIEL #05 | 1min Metrô Faria Lima,"Cancelamento gratuito
Cancelamento gratuito","26 de jun. – 1 de jul.
26 de jun. – 1 de jul.",por 5 noites,R$1.227,"5,0 de uma avaliação média de 5, 4 avaliações
5,0 (4)"
Casa em Parque Peruche,Stúdio independente - Zona Norte-SP,"Cancelamento gratuito
Cancelamento gratuito","4 – 9 de ago.
4 – 9 de ago.",por 5 noites,R$451,"4,99 de uma avaliação média de 5, 403 avaliações
4,99 (403)"
Apartamento em Guarulhos,"Aeroporto de Gru, Skyline, Piscina e Academia","Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$1.115,"4,78 de uma avaliação média de 5, 41 avaliações
4,78 (41)"
Apartamento em São Paulo,Apê c/ar condicionado em Pirituba próx. Estação,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.017,"5,0 de uma avaliação média de 5, 14 avaliações
5,0 (14)"
Apartamento em Osasco,Flat c/ copa excelente localização - apto 1802,"Cancelamento gratuito
Cancelamento gratuito","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$1.185,"4,83 de uma avaliação média de 5, 24 avaliações
4,83 (24)"
Apartamento em São Paulo,Pinheiros Hy 1010 | Vila Madalena & Metrô Sumaré,"1 cama queen
1 cama queen","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.484,"5,0 de uma avaliação média de 5, 8 avaliações
5,0 (8)"
Apartamento em São Paulo,Ótimo Studio no centro de SP próximo ao metro,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$979,"4,79 de uma avaliação média de 5, 222 avaliações
4,79 (222)"
Apartamento em São Paulo,Studio novo a 100 metros do Metrô Guilhermina,"Cancelamento gratuito
Cancelamento gratuito","24 – 29 de jun.
24 – 29 de jun.",por 5 noites,R$943,"5,0 de uma avaliação média de 5, 39 avaliações
5,0 (39)"
Apartamento em São Paulo,Studio 202 - Próx ao Metrô,"1 cama de casal
1 cama de casal","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$902,"Novo lugar para ficar
Novo"
Loft em Centro Histórico de São Paulo,Stúdio Centro Histórico,"1 cama
1 cama","24 – 29 de jun.
24 – 29 de jun.",por 5 noites,R$634,"4,92 de uma avaliação média de 5, 101 avaliações
4,92 (101)"
Apartamento em São Paulo,Apartamento novo Próx. ao metrô,"Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$871,"5,0 de uma avaliação média de 5, 22 avaliações
5,0 (22)"
Apartamento em São Paulo,Apartamento 2304,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.044,"4,71 de uma avaliação média de 5, 7 avaliações
4,71 (7)"
Apartamento em São Paulo,300m de metrô/Check-in matinal disponível,"2 camas
2 camas","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$621,"4,88 de uma avaliação média de 5, 26 avaliações
4,88 (26)"
Apartamento em São Paulo,Apartamento em Moema | Aeroporto Congonhas,"Cancelamento gratuito
Cancelamento gratuito","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$1.518,"4,96 de uma avaliação média de 5, 48 avaliações
4,96 (48)"
Apartamento em São Paulo,Studio na Vila Madalena,"Cancelamento gratuito
Cancelamento gratuito","13 – 18 de jun.
13 – 18 de jun.",por 5 noites,R$1.381,"4,81 de uma avaliação média de 5, 104 avaliações
4,81 (104)"
Apartamento em São Paulo,Vista Linda 180° c/Blackout e Piscina Av. Paulista,"Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$2.018,"4,91 de uma avaliação média de 5, 79 avaliações
4,91 (79)"
Apartamento em São Paulo,Studio Luxo República - Vila Buarque - MDS,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$981,"4,77 de uma avaliação média de 5, 13 avaliações
4,77 (13)"
Apartamento em São Paulo,0012 - Studio térreo no metrô Paraíso,"Cancelamento gratuito
Cancelamento gratuito","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$837,"4,85 de uma avaliação média de 5, 121 avaliações
4,85 (121)"
Apartamento em Barueri,"Em Alphaville, 150m da Al Rio Negro e tud+ ar-cond","Cancelamento gratuito
Cancelamento gratuito","19 – 24 de jun.
19 – 24 de jun.",por 5 noites,R$1.806,"5,0 de uma avaliação média de 5, 17 avaliações
5,0 (17)"
Apartamento em São Paulo,Studio fascinante em São Paulo próximo ao metrô,"Cancelamento gratuito
Cancelamento gratuito","24 – 29 de jun.
24 – 29 de jun.",por 5 noites,R$959,"4,84 de uma avaliação média de 5, 387 avaliações
4,84 (387)"
Apartamento em São Paulo,Apto novo- 2 min a pé do Metrô Bresser Mooca,"1 cama
1 cama","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$622,"5,0 de uma avaliação média de 5, 5 avaliações
5,0 (5)"
Apartamento em São Paulo,Studio Centro wifi/Piscina/academia - garagem #313,"1 cama
1 cama","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$792,"4,81 de uma avaliação média de 5, 27 avaliações
4,81 (27)"
Apartamento em Cotia,Studio completo e aconchegante.,"1 cama
1 cama","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.075,"4,81 de uma avaliação média de 5, 62 avaliações
4,81 (62)"
Apartamento em São Paulo,"Estúdio c/ piscina, academia e metrô próx","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.152,"4,91 de uma avaliação média de 5, 11 avaliações
4,91 (11)"
Apartamento em São Paulo,Apart. Lindo | Bairro Liberdade | Ar Conditioning,"2 camas
2 camas","8 – 13 de jun.
8 – 13 de jun.",por 5 noites,R$1.061,"4,94 de uma avaliação média de 5, 68 avaliações
4,94 (68)"
Apartamento em São Paulo,Studio Boutique Intimista Jardins | Pinheiros,"1 cama de casal
1 cama de casal","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.391,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,Loft estiloso metrô AC 516,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$705,"4,66 de uma avaliação média de 5, 65 avaliações
4,66 (65)"
Apartamento em São Paulo,SX 101 Estúdio moderno,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$621,"4,88 de uma avaliação média de 5, 124 avaliações
4,88 (124)"
Casa em Guarulhos,Loft Claude Monet próximo Aeroporto de Guarulhos,"Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.026,"5,0 de uma avaliação média de 5, 7 avaliações
5,0 (7)"
Apartamento em São Paulo,Ap. Inteiro - Próx Metro Vila Sônia,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$757,"4,91 de uma avaliação média de 5, 99 avaliações
4,91 (99)"
Apartamento em São Paulo,"Novo Studio c/ vista incrível, Aeroporto Congonhas","2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.210,"Novo lugar para ficar
Novo"
Loft em Macedo,"Lindo Studio, NOVINHO, localizado em uma das melhores areas de Guarulhos e a 9 km do aeroporto. Cercado dos melhores bares e restaurantes da região e a 200 metros do Bosque Maia. Aqui você terá a melhor experiência para sua estadia.","Cancelamento gratuito
Cancelamento gratuito","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.221,"5,0 de uma avaliação média de 5, 184 avaliações
5,0 (184)"
Apartamento em São Paulo,m3428 vista incrível no maior prédio de sp (sky),"Cancelamento gratuito
Cancelamento gratuito","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$1.118,"4,78 de uma avaliação média de 5, 55 avaliações
4,78 (55)"
